D528       10       DB  L0808,,D528-10,4.00,159675,2019/11/21
F756    E  20       NA  TL1615,E,F756N-20,1.00,159174,2019/11/21
N181    X  10           38/2352,X,N181E-10,2.00,161837,2019/11/21
N264       36           38/2352         ,,N264-36,3.00,160526,2019/11/21
N264       36           38/2546,,N264-36,3.00,154939,2019/11/21
N264       36           L3/514         2,,N264-36,1.00,159659,2019/11/21
N264    AN 03           38/2546,AN,N264-03,1.00,154939,2019/11/21
N264    AN 07           38/2352,AN,N264-07,1.00,160526,2019/11/21
N264    AN 50S          38/2352,AN,N264-50S,1.00,160526,2019/11/21
N338       07       BW  22/5507         ,,N338-07,1.00,156608,2019/11/21
N338       07       DB  48/2600,,N338-07,1.00,156529,2019/11/21
N338       118      BW  22/5507,,N338-118,1.00,156607,2019/11/21
N338       36           22/5507         ,,N264-36,2.00,156607,2019/11/21
N338       36           48/2600,,N264-36,3.00,156529,2019/11/21
N338       50       DB  48/2600,,N338-50,1.00,156529,2019/11/21
N528       26           38/6178,,N528-26,1.00,158040,2019/11/21
N528       41       DB  38/6178,,N528-41,1.00,158040,2019/11/21
N528       41       GY  38/6178         ,,N528-41,1.00,160003,2019/11/21
N528       41       GY  38/6178         ,,N528-41,1.00,161963,2019/11/21
N528       41       NA  38/6178,,N528-41,1.00,152667,2019/11/21
N528       50       DB  38/6178,,N528-50,1.00,158040,2019/11/21
N528       50       GY  38/6178,,N528-50,1.00,160003,2019/11/21
N528       50       GY  38/6178,,N528-50,1.00,161963,2019/11/21
N528       50       NA  38/6178,,N528-50,1.00,152667,2019/11/21
T043    W  03    »LC    48/6002,W,T043W-03,1.00,161873,2019/11/21
T043    W  03    »RC    48/6002,W,T043W-03,1.00,161873,2019/11/21
T517    N  07           22/5608,N,T517N-07,1.00,153336,2019/11/21
T517    N  09           L3/514         2,N,T517N-09,1.00,159659,2019/11/21
T517    N  17S          L3/514         2,N,T517-17S,1.00,159659,2019/11/21
T517    N  20           L3/518         2,N,T517-20,1.00,159896,2019/11/21
T517    N  50           22/5608,N,T517N-50,1.00,153336,2019/11/21
T517    N  50           L3/518         2,N,T517N-50,1.00,159896,2019/11/21
